ID,Language_ID,Lemma,Present,Past,Future,Imperative,Analysis_Source,Comment,Source
v-6a6fa833efaa-PH,xct,སྐྱིལ,སྐྱིལ,བསྐྱིལ,བསྐྱིལ,སྐྱིལ,PH,,tvd
v-6a6fa833efaa-KN,xct,སྐྱིལ,སྐྱིལ,བསྐྱིལ,བསྐྱིལ,སྐྱིལ,KN,,tvd
v-f7e8d015b9b6-GT,xct,སྐྱུག,སྐྱུག,སྐྱུགས,སྐྱུག,སྐྱུགས,GT,,tvd
v-fea465d02fa6-TDC,xct,སྐྱུག,སྐྱུག,བསྐྱུགས,བསྐྱུག,སྐྱུགས,TDC,,tvd
v-fea465d02fa6-PH,xct,སྐྱུག,སྐྱུག,བསྐྱུགས,བསྐྱུག,སྐྱུགས,PH,,tvd
v-fea465d02fa6-GT,xct,སྐྱུག,སྐྱུག,བསྐྱུགས,བསྐྱུག,སྐྱུགས,GT,,tvd
v-fea465d02fa6-KN,xct,སྐྱུག,སྐྱུག,བསྐྱུགས,བསྐྱུག,སྐྱུགས,KN,,tvd
v-c4d525cd9087-TDC,xct,སྐྱུང,སྐྱུང,བསྐྱུངས,བསྐྱུང,སྐྱུངས,TDC,,tvd
v-c4d525cd9087-PH,xct,སྐྱུང,སྐྱུང,བསྐྱུངས,བསྐྱུང,སྐྱུངས,PH,,tvd
v-c4d525cd9087-GT,xct,སྐྱུང,སྐྱུང,བསྐྱུངས,བསྐྱུང,སྐྱུངས,GT,,tvd
v-c4d525cd9087-KN,xct,སྐྱུང,སྐྱུང,བསྐྱུངས,བསྐྱུང,སྐྱུངས,KN,,tvd
v-500c9cf8597a-TDC,xct,སྐྱུད,སྐྱུད,བསྐྱུད,བསྐྱུད,,TDC,,tvd
v-34da32c77ebd-PH,xct,སྐྱུད,སྐྱུད,བསྐྱུད,བསྐྱུད,སྐྱུད,PH,,tvd
v-34da32c77ebd-GT,xct,སྐྱུད,སྐྱུད,བསྐྱུད,བསྐྱུད,སྐྱུད,GT,,tvd
v-34da32c77ebd-KN,xct,སྐྱུད,སྐྱུད,བསྐྱུད,བསྐྱུད,སྐྱུད,KN,,tvd
v-834c0942f896-GT,xct,སྐྱུར,སྐྱུར,བསྐྱུར༼ད༽,བསྐྱུར,སྐྱུར༼ད༽,GT,,tvd
v-16ff47de0f14-TDC,xct,སྐྱུར,སྐྱུར,བསྐྱུར,བསྐྱུར,སྐྱུར,TDC,,tvd
v-16ff47de0f14-PH,xct,སྐྱུར,སྐྱུར,བསྐྱུར,བསྐྱུར,སྐྱུར,PH,,tvd
v-16ff47de0f14-KN,xct,སྐྱུར,སྐྱུར,བསྐྱུར,བསྐྱུར,སྐྱུར,KN,,tvd
v-5640b871d482-TDC,xct,སྐྱེ,སྐྱེ,སྐྱེས,སྐྱེ,,TDC,,tvd
v-5640b871d482-KN,xct,སྐྱེ,སྐྱེ,སྐྱེས,སྐྱེ,,KN,,tvd
v-93ccd8006dfa-PH,xct,སྐྱེ,སྐྱེ,སྐྱེས,སྐྱེ,སྐྱེས,PH,,tvd
v-93ccd8006dfa-GT,xct,སྐྱེ,སྐྱེ,སྐྱེས,སྐྱེ,སྐྱེས,GT,,tvd
v-0ee51d2e514b-GT,xct,སྐྱེང,སྐྱེང,སྐྱེངས,སྐྱེང,སྐྱེངས,GT,,tvd
v-27ac6f701a29-GT,xct,སྐྱེང,སྐྱེང,བསྐྱེངས,བསྐྱེང,སྐྱེངས,GT,,tvd
v-4df0985d009d-TDC,xct,སྐྱེངས,སྐྱེངས,སྐྱེངས,སྐྱེངས,,TDC,,tvd
v-4df0985d009d-PH,xct,སྐྱེངས,སྐྱེངས,སྐྱེངས,སྐྱེངས,,PH,,tvd
v-98d9713a313d-TDC,xct,སྐྱེད,སྐྱེད,བསྐྱེད,བསྐྱེད,སྐྱེད,TDC,,tvd
v-98d9713a313d-PH,xct,སྐྱེད,སྐྱེད,བསྐྱེད,བསྐྱེད,སྐྱེད,PH,,tvd
v-98d9713a313d-GT,xct,སྐྱེད,སྐྱེད,བསྐྱེད,བསྐྱེད,སྐྱེད,GT,,tvd
v-98d9713a313d-KN,xct,སྐྱེད,སྐྱེད,བསྐྱེད,བསྐྱེད,སྐྱེད,KN,,tvd
v-bb38511a9efe-GT,xct,སྐྱེལ,སྐྱེལ,བསྐྱལ༼ད༽,བསྐལ,སྐྱོལ༼ད༽༼སྐྱོལ༽,GT,,tvd
v-3f3687c4d56e-TDC,xct,སྐྱེལ,སྐྱེལ,བསྐྱལ,བསྐྱལ,སྐྱོལ,TDC,,tvd
v-3f3687c4d56e-PH,xct,སྐྱེལ,སྐྱེལ,བསྐྱལ,བསྐྱལ,སྐྱོལ,PH,,tvd
v-3f3687c4d56e-KN,xct,སྐྱེལ,སྐྱེལ,བསྐྱལ,བསྐྱལ,སྐྱོལ,KN,,tvd
v-1d2a735ac076-TDC,xct,སྐྱོ,སྐྱོ,སྐྱོ,སྐྱོ,,TDC,,tvd
v-1d2a735ac076-PH,xct,སྐྱོ,སྐྱོ,སྐྱོ,སྐྱོ,,PH,,tvd
v-c764253fef1a-GT,xct,སྐྱོ,སྐྱོ,སྐྱོ,སྐྱོ,སྐྱོ,GT,,tvd
v-8ad686c6ab3a-TDC,xct,སྐྱོག,སྐྱོག,བསྐྱོགས,བསྐྱོག,སྐྱོགས,TDC,,tvd
v-8ad686c6ab3a-PH,xct,སྐྱོག,སྐྱོག,བསྐྱོགས,བསྐྱོག,སྐྱོགས,PH,,tvd
v-8ad686c6ab3a-GT,xct,སྐྱོག,སྐྱོག,བསྐྱོགས,བསྐྱོག,སྐྱོགས,GT,,tvd
v-75f7c3ed754a-TDC,xct,སྐྱོང,སྐྱོང,བསྐྱངས,བསྐྱང,སྐྱོངས,TDC,,tvd
v-75f7c3ed754a-PH,xct,སྐྱོང,སྐྱོང,བསྐྱངས,བསྐྱང,སྐྱོངས,PH,,tvd
v-75f7c3ed754a-GT,xct,སྐྱོང,སྐྱོང,བསྐྱངས,བསྐྱང,སྐྱོངས,GT,,tvd
v-75f7c3ed754a-KN,xct,སྐྱོང,སྐྱོང,བསྐྱངས,བསྐྱང,སྐྱོངས,KN,,tvd
v-87baf853bced-TDC,xct,སྐྱོད,སྐྱོད,བསྐྱོད,བསྐྱོད,,TDC,,tvd
v-c27fd7836e54-TDC,xct,སྐྱོད,སྐྱོད,བསྐྱོད,བསྐྱོད,སྐྱོད,TDC,,tvd
v-c27fd7836e54-PH,xct,སྐྱོད,སྐྱོད,བསྐྱོད,བསྐྱོད,སྐྱོད,PH,,tvd
v-c27fd7836e54-GT,xct,སྐྱོད,སྐྱོད,བསྐྱོད,བསྐྱོད,སྐྱོད,GT,,tvd
v-c27fd7836e54-KN,xct,སྐྱོད,སྐྱོད,བསྐྱོད,བསྐྱོད,སྐྱོད,KN,,tvd
v-02fee9bde638-GT,xct,སྐྱོན,སྐྱོན,སྐྱོན༼ད༽,སྐྱོན,སྐྱོན༼ད༽,GT,,tvd
v-c7a22b694e99-GT,xct,སྐྱོན,སྐྱོན,བསྐྱོན༼ད༽,བསྐྱོན,སྐྱོན༼ད༽,GT,,tvd
